City/ Location,State,What was the event?,Who made the decision? (Name & title),Category,Date of event,Link to sources or more information ,Additional link,Additional link,"Your name & email or twitter handle to contact (optional, will be viewable by the public)",
Raleigh ,NC,Statewide stay-at-home order,Gov. Roy Cooper,Quarantines and forced closures,3/27/2020,https://www.newsobserver.com/news/coronavirus/article241610356.html,,,,
Rapid City,SD,"City's Solid Waste Division is implementing landfill and solid waste collection procedures in response to the COVID-19 pandemic. This includes: Collections staff will no longer exit trucks to pick up items placed outside of the containers or collect loose garbage, etc. a valid utility bill issued within the last 12 months may be used for free disposal of a car load or pickup load of refuse at the City Landfill.",Mayor's Office,Not sure,4/8/2020,https://www.rcgov.org/departments/mayor-s-office-city-council/covid-19-updates/covid-19-updates-7838.html,,,,
Richmnd,VA,Statewide stay-at-home order,Gov. Ralph Northam,Quarantines and forced closures,3/30/2020,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-55-Temporary-Stay-at-Home-Order-Due-to-Novel-Coronavirus-(COVID-19).pdf?emci=31b5cd43-b772-ea11-a94c-00155d03b1e8&emdi=465d758b-cb72-ea11-a94c-00155d03b1e8&ceid=2663660,,,,
Rio Rancho,NM,retirement and assisted living facility announced a lockdown,Retirement community,Quarantines and forced closures,3/29/2020,http://nmindepth.com/2020/04/01/rio-rancho-retirement-community-on-lockdown-after-resident-tests-positive-for-covid-19/,,,,
Rio Rancho,NM,"Mayor Hull reiterates stay at home order and said the city has already shut down many of the municipal facilities like the libraries, aquatic center and community centers, as well as some parks. They most recently added closing playground equipment.",Mayor of Rio Rancho,Quarantines and forced closures,4/8/2020,https://www.kob.com/albuquerque-news/rio-rancho-mayor-urges-people-to-stay-home-after-cases-spike-in-sandoval-county/5695425/,,,,
Rio Rancho,NM,Mayor urges residents to stay home except for essential activities,Mayor Greggory Hull,Elected/public officials,4/7/2020,https://www.kob.com/albuquerque-news/rio-rancho-mayor-urges-people-to-stay-home-after-cases-spike-in-sandoval-county/5695425/,,,,
River Falls,WI,"COVID-19 update: 'Safer at Home' Emergency Order"" for University of Wisconsin at River Falls","Dean Van Galen, Ph.D. ",Quarantines and forced closures,3/24/2020,https://www.uwrf.edu/News/COVID19UpdateEmergencyOrder12SaferatHome.cfm,,,Brenda Kelley bjkelleylady@gmail.com,
River Forest,IL,"wide range of excutve orders by village President, Cathy Adduci ","village President , Cathy Adduci",Quarantines and forced closures,3/30/2020,https://www.vrf.us/uploads/cms/documents/guides/executive_order_20-3_-_compliance_with_governor_s_eos_-_4-3-20.pdf,,,,
Riverside,CA,Riverside County orders all residents to wear masks - also page view spikes on this particular county regarding this order,County Government,Elected/public officials,4/6/2020,https://fox40.com/news/california-connection/riverside-county-orders-all-residents-to-wear-masks/,,,,
Riverside county,CA,"Beginning 4/5, residents in public without wearing masks could be fined up to $1000 per violation per day",Riverside County Public Health Officer Dr. Cameron Kaiser,Quarantines and forced closures,4/4/2020,https://www.newsweek.com/california-county-fining-residents-1000-not-wearing-face-masks-public-1496692,https://www.countyofriverside.us/NewsHighlights/TabId/96/ArtMID/487/ArticleID/451/Riverside-County-Public-Health-Officer-orders-public-to-stay-home-and-cover-face-when-leaving.aspx,,INT,
Riverton,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Rock Hill,SC,Rock Hill healthcare center offering drive-thru testing by appt.,Affinity Healthcare Center,Not sure,4/13/2020,https://www.heraldonline.com/news/coronavirus/article241968621.html,,,,
Roosevelt National Park,ND,Theodore Roosevelt National Park closed until May 9th,Theodore Roosevel National Park Superintendent Wendy Ross,Quarantines and forced closures,4/16/2020,https://ndresponse.gov/news/theodore-roosevelt-national-park-closed-through-may-9th-slow-spread-covid-19,,,,
Sacramento,CA,The City of Sacramento established a $1 million economic relief fund for businesses affected by COVID-19 and has selected 101 local businesses to receive zero-interest loans.,Sacramento Mayor Darrell Steinberg,Not sure,4/2/2020,https://www.sacbee.com/news/coronavirus/article241733671.html,,,INT,
Sacramento,CA,"Sacramento City Council approved a plan to open up roughly 1,000 beds for homeless people in an effort to prevent Covid from spreading through encampments",Sacramento City Council ,Not sure,4/7/2020,https://fox40.com/news/local-news/sacramento-city-council-to-vote-on-1000-bed-plan-for-homeless/,,,INT,
Sacramento county,CA,Sacramento county extended stay at home order until May 1st and added travel restrictions,Sacramento county public health officer (Olivia Kasirye?),Quarantines and forced closures,4/7/2020,https://www.sacbee.com/news/coronavirus/article241845146.html,https://www.saccounty.net/COVID-19/Documents/April7_ExecutedHealthOrder_SignedNewStayathomeOrder-FINAL.pdf,,INT,
Salem,OR,Salem Public Transit suspends service ,Salem Public Transit Agency ,Elected/public officials,3/30/2020,https://www.oregonlive.com/commuting/2020/03/7-salem-public-transit-workers-test-positive-for-coronavirus.html,,,,
Salem,OR,100 medically vulnerable unsheltered homeless are moved into Salem hotels,the Mid-Willamette Valley Community Action Agency,Quarantines and forced closures,4/12/2020,https://www.statesmanjournal.com/story/news/2020/04/12/salem-coronavirus-unsheltered-homeless-placed-in-hotels-oregon-covid-19/2966640001/,,,INT,
Salt Lake City,UT,"Mayor extended Salt Lake City stay at home order until May, 1 2020. With this only essensial businesses are able to stay open, many with restrictions.",Mayor Jenny Wilson,Quarantines and forced closures,4/16/2020,https://www.fox13now.com/news/coronavirus/local-coronavirus-news/salt-lake-co-residents-to-remain-under-stay-at-home-order-until-may-1,https://www.slc.gov/mayor/covid-19/,,@MeganStael,
Salt Lake County,UT,"""Stay Safe, Stay Home"" order issued",Salt Lake County Health Dept,Quarantines and forced closures,3/30/2020,https://slco.org/globalassets/1-site-files/health/programs/covid/pho/staysafestayhome_list.pdf,,,INT,
Salt Lake County,UT,"Stay at home order extended to May 1, 2020. Cities include Salt Lake City, West Valley City, Sandy, South Jordan, West Jordan, Murray, Midvale, South Salt Lake, Millcreek, Harriman, Holladay, Taylorsville,  Magna, Riverton, Cottonwood Heights, Kearns, Alta, Copperton, Emigration Canyon, White City, and Granite.",Mayor Jenny Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
San Antonio,TX,"Bexar County will be offering $5 million in interest free loans and $250,000 in grants to help businesses which are struggling with payroll.",Bexar County Commissioner Justin Rodriguez,Not sure,3/18/2020,https://news4sanantonio.com/news/local/bexar-county-officials-to-announce-changes-in-procedures-amid-covid-19-pandemic,,,INT,
San Clemente,CA,City fills skatepark with sand to stop people from using it,City of San Clemente,Elected/public officials,3/17/2020,https://losangeles.cbslocal.com/2020/04/17/coronavirus-san-clemente-skatepark-37-tons-sand-social-distancing/,,,debistobie@gmail.com,
San Diego,CA,San Diego small businesses adversely affected by the COVID-19 pandemic can now apply for the city’s Small Business Relief Fund,San Diego Mayor Kevin Faulconer ,Not sure,3/27/2020,https://timesofsandiego.com/business/2020/03/27/applications-open-late-friday-for-san-diego-small-business-relief-fund/,,,INT,
San Diego,CA,San Diego freezes commercial and residential tenant evictions linked to Coronavirus,City Council President Georgette Gomez,Not sure,3/25/2020,https://www.sandiegouniontribune.com/news/politics/story/2020-03-25/san-diego-freezes-tenant-evictions-linked-coronavirus-landlords-fret-activists-call-a-general-rent-strike,,,INT,
San Diego county,CA,San Diego county expanded restrictions for what employees must wear face masks and banned any gatherings,"Wilma Wooten, San Diego county public health officer",Quarantines and forced closures,4/8/2020,https://www.10news.com/news/coronavirus/san-diego-county-bans-all-public-gatherings-expands-rules-for-fac,,,INT,
San Francisco,CA,San Francisco establishes a text service for domestic violence victims and others who are unable to dial 911 during the Covid stay at home order,"Mayor London Breed and Department of Emergency Management Executive Director, Mary Ellen Carroll",Not sure,4/10/2020,https://sfmayor.org/article/san-francisco-launches-text-9-1-1-service,,,INT,
San Francisco,CA,San Francisco will begin using hotel rooms to relocate homeless individuals out of crowded shelters in an effort to mitigate the spread of Covid-19,Mayor London Breed of San Francisco,Not sure,4/8/2020,https://www.nbcbayarea.com/news/local/san-francisco/san-francisco-relocating-homeless-out-of-shelters-and-into-hotels-after-abrupt-policy-change/2268696/,,,INT,
San Francisco,CA,"City is opening a testing center where people can get tested from their car, an appointment is required",City of San Francisco,Not sure,4/17/2020,https://abc7news.com/coronavirus-bay-area-live-updates-update-california-shelter-in-place/6110230/,,,,
San Francisco,CA,SFMTA reduces service down to 17 lines due to COVID-19 outbreak,SFMTA,Quarantines and forced closures,4/6/2020,https://sf.gov/news/sfmta-reduces-service-down-17-lines-due-covid-19-outbreak,,,,
San Francisco,CA,San Francisco to launch $10 million small business emergency relief fund,Mayor London N. Breed,Not sure,4/2/2020,https://www.ktvu.com/news/san-francisco-to-launch-10-million-small-business-emergency-relief-fund,,,INT,
San Jose,,Santa Clara County and San Jose city secured 172 motel rooms and preparing temporary shelter at the County Fairgrounds,Santa Clara County government and San Jose City council,Not sure,3/28/2020,https://www.sccgov.org/sites/phd/news/Pages/homeless-response.aspx,https://www.mercurynews.com/2020/03/29/coronavirus-santa-clara-county-to-use-fairgrounds-to-house-homeless/,,INT,
San Jose,CA,San Jose voted for low wage workers to receive paid sick leave should they fall ill during pandemic,San Jose City council,State legislatures,4/1/2020,https://sanjosespotlight.com/san-jose-lawmakers-unanimously-approve-paid-sick-leave-policy/,,,INT,
San Jose,CA,All non-essential travel limited in San Jose airport,"John Aitken, Director of Aviation at Mineta San Jose International Airport",Elected/public officials,4/16/2020,https://www.sanjoseca.gov/news-stories/news/emergency-notifications,,,,
San Jose and San Francisco,CA,Both cities approved emergency paid leave applying to companies with 500+ workers.,San Jose City council and the San Francisco Board of Supervisors voted April 7.,Not sure,3/7/2020,https://www.sfchronicle.com/bayarea/article/Two-Bay-Area-cities-poised-to-approve-paid-sick-15185145.php,https://abc7news.com/paid-leave-san-francisco-sick-sf-coronavirus-bay-area-lockdown/6086736/,https://www.mercurynews.com/2020/04/07/no-paid-sick-leave-no-problem-san-jose-passes-emergency-policy-during-coronavirus/,INT,
San Luis Obispo,CA,Shelter-at-Home order,San Luis Obispo County,Quarantines and forced closures,3/19/2020,https://www.sanluisobispo.com/news/coronavirus/article241316811.html,,,,
San Mateo County,CA,"Shelter in place measures extended to May 2, which will most likely be extended into the summer",San Mateo County,Quarantines and forced closures,3/31/2020,https://www.cityofsanmateo.org/4223/Novel-Coronavirus-COVID-19-Updates,,,,
Sandy,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Santa Ana,CA,"Santa Ana freezes rent increases until at least May 31st, effective April 7th.",Santa Ana City Manager Kristine Ridge,Not sure,4/7/2020,https://www.santa-ana.org/city-santa-ana-freezes-rent-increases,,,INT,
Santa Clara,CA,Santa Clara County Registrar of Voters sues San Jose's city clerk demanding a recount of nearly 100 000 signatures for a ballot measure shifting mayoral elections,Santa Clara County Registrar of Voters,Ballot measures,4/13/2020,https://www.mercurynews.com/2020/04/24/santa-clara-county-sues-san-jose-over-controversial-labor-backed-ballot-initiative/,,,,
Santa Cruz,CA,"City considers reopening beaches, parks, and other public spaces",City of Santa Cruz,Quarantines and forced closures,4/16/2020,https://abc7news.com/society/coronavirus-santa-cruz-co-beaches-parks-reopen;-social-distancing-enforced/6108441/,,,,
santa fe,NM,New Mexico Supreme Court has rejected an emergency petition from the Secretary of State and county clerks to send all New Mexico voters a mail-in ballot for the upcoming 2020 primary election,NM supreme court,Elections,4/14/2020,https://www.krqe.com/news/politics-government/supreme-court-to-hold-hearing-on-primary-election-procedures/,,,,
santa fe,NM,Nat’l Museum of Nuclear Science & History continues education online,,Schools,,,,,,
santa fe,NM,jail canceled inmates' visits until further notice,Sante Fe County,Quarantines and forced closures,3/14/2020,https://www.sfreporter.com/news/morningword/2020/03/13/covid-19-closes-schools/,,,,
Santa Fe,NM,Archdiocese of Santa Fe is canceling its church services and closing its schools until further notice,Archdiocese of Santa Fe,Quarantines and forced closures,3/14/2020,https://www.sfreporter.com/news/morningword/2020/03/13/covid-19-closes-schools/,,,,
Santa Rosa,CA,The Santa Rosa City Council has authorized a temporary waiver of parking fees for the duration of the Sonoma County Health Order which requires residents to Shelter-in-Place,City of Santa Rose,Quarantines and forced closures,4/16/2020,https://srcity.org/CivicAlerts.aspx?AID=890,,,,
Savannah,GA,shelter at home order,Mayor Van R Johnson,Quarantines and forced closures,3/19/2020,https://www.savannahga.gov/2958/Covid-19,,,,
Savannah,GA,State of emergency,Mayor Van R Johnson,Quarantines and forced closures,3/19/2020,https://www.savannahga.gov/DocumentCenter/View/18583/Declaration-of-Local-Emergency_20200319?bidId=,,,,
Seattle,WA,Fund childcare for essential workers,Mayor Jenny Durkan,Elected/public officials,3/27/2020,http://www.seattle.gov/education/about-us/covid-19/emergency-child-care,,,INT,
Seattle,WA,Residential evictions halted,Mayor Jenny Durkan,Elected/public officials,3/14/2020,https://www.documentcloud.org/documents/6810472-FAQs-COVID-19-Eviction-Moratorium.html,,,INT,
Seattle,WA,Emergency food vouchers to families in need,City of Seattle,Elected/public officials,3/17/2020,https://greenspace.seattle.gov/2020/03/emergency-food-vouchers-to-support-those-in-need-during-covid-19/#sthash.XxnyrgIe.dpbs,,,INT,
Seattle,WA,$1.5 Million Fund to Invest Directly in Small Businesses Impacted by COVID-19,Mayor Jenny Durkan,Not sure,3/12/2020,https://durkan.seattle.gov/2020/03/mayor-durkan-announces-1-5-million-fund-to-invest-directly-in-small-businesses-impacted-by-covid-19/?preview=true,,,INT,
Shelby County,AL,"Restaurants not allowed to serve in premises. Private and pre-schools closed. Senior Centers not allowed to have gatherings, All gatherings >25 people banned. Nursing homes not allowed to have visitors",Alabama Department of Public Health,Quarantines and forced closures,3/17/2020,https://www.tuscaloosa.com/posts/2020/03/17/alabama-department-of-public-health-order-regarding-covid-19,,,JAR,
Shenandoah National Park,VA,Shenandoah National Park is temporarily closed. This is a full closure. No entry from the boundary. Includes all trails and the Appalachain Trail.,Superintendent Jennifer Flynn,Quarantines and forced closures,4/8/2020,https://www.nps.gov/shen/planyourvisit/alerts.htm,,,,
Sioux Falls,SD,Dakota Valley Schools Closed; K-12 through 5/1; as per advised by Governor Kristi Noem,Dakota Valley School District Superintendent Jerry Rasmussen,Schools,3/24/2020,https://siouxcityjournal.com/news/state-and-regional/south-dakota/noem-extends-south-dakota-k-12-school-closure-says-covid-19-will-last-months-longer/article_c53c3d33-2cd5-53e6-9357-3f2da776c065.html,,,,
Sioux Falls,SD,Safter at Home Proclamation,"City of Sioux Falls, Mayor Paul Tenhaken",Quarantines and forced closures,4/6/2020,https://www.siouxfalls.org/covid19/safer-at-home,,,"Teddy Scheckel, tscheckel@wisc.edu",
Sioux Falls,SD,"Smithfield Foods Inc. Sioux Falls factory will be closed until further notice due to large outbreak of COVID-1 cases there: Smithfield will resume operations in Sioux Falls once further direction is received from local, state and federal officials.","Kenneth M. Sullivan, president and chief executive officer, for Smithfield",Not sure,4/12/2020,https://www.smithfieldfoods.com/press-room/company-news/smithfield-foods-to-close-sioux-falls-sd-plant-indefinitely-amid-covid-19,,,,
Skokie,IL,Facecoverings required in public places,Mayor George Van Dusen,Elected/public officials,4/15/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200415-3wo7f47ljjagxb7czeakqjyeia-story.html,,,,
Solano County,CA,Solano County extends shelter-in-place order until May 15,Solano County public health officials,Quarantines and forced closures,4/24/2020,https://www.kron4.com/news/bay-area/solano-county-extends-stay-at-home-order-until-may-17/,,,,
Souix Falls,SD,"""Safer at Home"" Proclamation; “Residents over the age of two who do not have trouble breathing should wear face masks when they’re in public areas outside of their homes,"" says the mayor who also advises only visit grocery and other essential stores once per week. ",Mayor Paul TenHaken,Elections,4/6/2020,https://www.keloland.com/news/healthbeat/coronavirus/mayor-tenhaken-announces-safer-at-home-executive-proclamation/,,,,
South Jordan,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
South Salt Lake,UT,"Stay at home order extended to May 1, 2020.",Mayor Jennifer Wilson,Quarantines and forced closures,4/10/2020,https://slco.org/health/COVID-19/business/,,,@MeganStael,
Spokane,WA,Suspended late fees and water shutoffs for non-payment of city utility bills,City of Spokane,Elected/public officials,3/16/2020,https://my.spokanecity.org/news/releases/2020/03/16/city-suspends-water-shut-offs-late-fees-on-city-utility-bills/,,,INT,
Springfield,IL,7 Midwest States to Partner on Reopening the Economy,"Governors Evers, DeWine, Whitmer, Pritzker, Walz, Beshear, Holcomb",Not sure,4/16/2020,https://www.usnews.com/news/politics/articles/2020-04-16/7-midwest-states-to-partner-on-reopening-the-economy,,,INT,
St. Clair,AL,"Restaurants not allowed to serve in premises. Private and pre-schools closed. Senior Centers not allowed to have gatherings, All gatherings >25 people banned. Nursing homes not allowed to have visitors",Alabama Department of Public Health,Quarantines and forced closures,3/17/2020,https://www.tuscaloosa.com/posts/2020/03/17/alabama-department-of-public-health-order-regarding-covid-19,,,JAR,
St. Paul,MN,"Minnesota Department of Employment and Economic Development this week announced the implementation of the Minnesota Small Business Loan Guarantee Program, part of a $330 million bill",Gov. Tim Walz,Not sure,3/30/2020,https://www.twincities.com/2020/03/30/more-relief-available-for-minnesota-small-business-amid-coronavirus-crisis/,,,INT,
St. Paul,MN,7 Midwest States to Partner on Reopening the Economy,"Governors Evers, DeWine, Whitmer, Pritzker, Walz, Beshear, Holcomb",Not sure,4/16/2020,https://www.usnews.com/news/politics/articles/2020-04-16/7-midwest-states-to-partner-on-reopening-the-economy,,,INT,
St. Petersburg,FL,Safer in home order implemented in Pinellas County,Pinellas County Commissioners,Quarantines and forced closures,3/26/2020,https://www.fox13news.com/news/pinellas-safer-at-home-resolution-goes-into-effect-thursday,https://www.tampabay.com/news/health/2020/03/25/pinellas-orders-county-to-stay-at-home-amid-coronavirus-first-in-tampa-bay-to-enact-measure/?utm_expid=.rZxRlJI0T86fmAabR1Jv8w.0&utm_referrer=https%3A%2F%2Fwww.google.com%2F,https://go.activecalendar.com/pinellascounty/site/pressrelease/event/pinellas-commission-issues-safer-at-home-order-to-curb-spread-of-covid-19/,Avery Hill & @avehill_ on twitter ,
State's Public Universities,SD,The state's public universities have canceled all in-person classes for the rest of the semester and postponed graduation ceremonies.,South Dakota Board of Regents ,Schools,4/24/2020,https://siouxcityjournal.com/news/state-and-regional/south-dakota/noem-extends-south-dakota-k-12-school-closure-says-covid-19-will-last-months-longer/article_c53c3d33-2cd5-53e6-9357-3f2da776c065.html,,,,
statewide,NY,NY State on Pause (essentially shelter in place),Governor Andrew Cuomo,Quarantines and forced closures,3/22/2020,https://coronavirus.health.ny.gov/new-york-state-pause,https://www.timesunion.com/news/article/Cuomo-orders-all-non-essential-workers-to-remain-15145598.php,,,
statewide,NY,Closing of barber shops and similar personal care services,Governor Andrew Cuomo,Quarantines and forced closures,3/20/2020,https://www.governor.ny.gov/news/amid-covid-19-pandemic-governor-cuomo-governor-murphy-governor-lamont-and-governor-wolf-direct,https://www.crainsnewyork.com/coronavirus/all-barbershops-nail-salons-ordered-close,,,
statewide,CT,Closing of barber shops and similar personal care services,Governor Ned Lamont,Quarantines and forced closures,3/20/2020,https://www.governor.ny.gov/news/amid-covid-19-pandemic-governor-cuomo-governor-murphy-governor-lamont-and-governor-wolf-direct,https://www.crainsnewyork.com/coronavirus/all-barbershops-nail-salons-ordered-close,,,
statewide,NJ,Closing of barber shops and similar personal care services,Governor Phil Murphy,Quarantines and forced closures,3/20/2020,https://www.governor.ny.gov/news/amid-covid-19-pandemic-governor-cuomo-governor-murphy-governor-lamont-and-governor-wolf-direct,https://www.crainsnewyork.com/coronavirus/all-barbershops-nail-salons-ordered-close,,,
statewide,PA,Closing of barber shops and similar personal care services,Governor Tom Wolf,Quarantines and forced closures,3/20/2020,https://www.governor.ny.gov/news/amid-covid-19-pandemic-governor-cuomo-governor-murphy-governor-lamont-and-governor-wolf-direct,https://www.lvb.com/pa-s-covid-19-cases-hit-96-wolf-clarifies-business-closure-order/,,,
Statewide,IL,Shelter-in-place order issued,Governor JB Pritzker,Quarantines and forced closures,3/20/2020,https://www2.illinois.gov/sites/coronavirus/FAQ/Pages/Stay-At-Home-FAQS.aspx,,,,
Statewide,AL,"All dental, medical, and surgical procedures postponed with some exceptions.",Governor Kay Ivey,Quarantines and forced closures,3/28/2020,https://governor.alabama.gov/assets/2020/03/Amended-Statewide-Social-Distancing-SHO-Order-3.27.2020-FINAL.pdf,,,,
Statewide,AL,"All non-work related gatherings of 10 persons or more, or non-work related gatherings where a 6-foot distance between persons are not able to be maintained, are prohibited.",Governor Kay Ivey,Quarantines and forced closures,3/28/2020,https://governor.alabama.gov/assets/2020/03/Amended-Statewide-Social-Distancing-SHO-Order-3.27.2020-FINAL.pdf,,,,
Statewide,AL,"Non-essential businesses, venues, and activities to be closed to non-employees or not take place. Specifics listed in linked document.",Governor Kay Ivey,Quarantines and forced closures,3/28/2020,https://governor.alabama.gov/assets/2020/03/Amended-Statewide-Social-Distancing-SHO-Order-3.27.2020-FINAL.pdf,,,,
Statewide,MA,"Trials postponed, court events held via phone, and limits on in person court visits",Massachusetts Land Court Standing,Courts,3/16/2020,https://www.mass.gov/land-court-rules/land-court-standing-order-2-20-emergency-measures-in-response-to-coronavirus,,,INT,
Statewide,TN,"Two-week stay-at-home order until April 14, closing non-essential businesses",Gov. Bill Lee,Quarantines and forced closures,3/30/2020,https://www.tennessean.com/story/news/health/2020/03/30/tennessee-governor-bill-lee-stay-at-home-order-to-stop-coronavirus/2937429001/,,,INT,
Statewide,TN,Schools closed until April 14,Gov. Bill Lee,Schools,3/24/2020,https://www.tennessean.com/story/news/politics/2020/03/24/coronavirus-tennessee-updates-gov-bill-lee-calls-schools-remain-closed-until-april-24/2909392001/,,,INT,
Statewide,IL,Stay-at-home order extended until April 30,Gov. JB Pritizker,Quarantines and forced closures,3/31/2020,https://abc7chicago.com/coronavirus-illinois-cases-update-map/6067701/,,,INT,
Statewide,TN,BlueCross BlueShield of Tennessee waiving all member cost-sharing in relation to COVID-19,BlueCross BlueShield of Tennessee,Not sure,4/2/2020,https://dailymemphian.com/article/12504/coronavirus-live-blog-april-2,,,INT,
Statewide,MA,Announcement of the COVID-19 Community Tracing Collaborative,Gov. Charlie Baker,Not sure,4/3/2020,https://www.nbcboston.com/news/local/gov-baker-to-provide-update-make-coronavirus-announcement/2102020/,,,INT,
Statewide,MA,Ban on reusable bags at grocery stores,Gov. Charlie Baker,Quarantines and forced closures,3/25/2020,https://www.nbcboston.com/news/local/gov-baker-to-provide-update-make-coronavirus-announcement/2102020/,,,INT,
Statewide,FL,"Florida Governor suspends foreclosures, evictions over coronavirus",Governor Ron DeSantis,Elected/public officials,4/3/2020,https://patch.com/florida/miami/fl-governor-suspends-foreclosures-evictions-over-coronavirus,,,INT,
statewide,CA,"Gov. Newsom asked recently retired providers, those in the process of getting a medical license in the state and students enrolled in medical or nursing schools to apply to the newly created California Health Corps. ","Gov. of California, Gavin Newsom",Not sure,3/30/2020,https://www.sandiegouniontribune.com/news/california/story/2020-03-30/california-health-corps-nurses-doctors-staffing-rules-coronavirus,,,INT,
statewide,CA,California secures nearly 7000 hotel rooms for the homeless during pandemic,Gov. Newsom of California,Not sure,4/3/2020,https://www.mercurynews.com/2020/04/03/state-secures-nearly-7000-hotel-rooms-to-house-homeless-during-coronavirus-pandemic/,,,INT,
Statewide,IL,Illinois Driver License expiration extended,Secretary of State Jesse White,Quarantines and forced closures,4/10/2020,https://www.nbcchicago.com/news/local/illinois-coronavirus-updates-chicago-neighborhood-has-highest-total-cpd-cases-rise/2253630/,,,,
Statewide,IL,450000 additional house to receive additional SNAP benefits,Illinois Department of Human Service,Quarantines and forced closures,4/6/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200406-skd5cq6yfbdn7mxzkw3psnfrv4-story.html,,,,
Statewide,MA,"Activation of 3,000 additional National Guard",Gov. Charlie Baker,Elected/public officials,4/11/2020,https://www.cnn.com/world/live-news/coronavirus-pandemic-04-11-20/h_9773c78459e1666dbef9b6b8e3ff8098,,,,
Statewide,TX,Waiving of physician in training regulations to combat to support coronavirus efforts,Gov. Greg Abbott,Elections,4/11/2020,https://www.cnn.com/world/live-news/coronavirus-pandemic-04-11-20/h_d4fc87eb699e14676c9f5aea4086d560,,,,
Statewide,NE,Executive Order allowing daycares to be reimbursed and waving criteria to include license exempt child care provider for families receiving child care subsidies,Governor Pete Ricketts,State legislatures,4/15/2020,http://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/20-18.pdf,https://governor.nebraska.gov/press/gov-ricketts-issues-executive-order-provide-childcare-relief-announces-covid-19-business,,,
Statewide,NE,Regulatory changes to allow restaurants to operate as pop-up retailers; food labeling waiver,Governor Pete Ricketts,State legislatures,4/14/2020,https://governor.nebraska.gov/press/gov-ricketts-announces-regulatory-changes-allow-restaurants-operate-pop-retailers,,,,
Statewide,IL,"The United Way of Illinois and the Alliance of Illinois Community Foundations, in collaboration with the Office of Governor JB Pritzker, are establishing the Illinois COVID-19 Response Fund",Governor Pritzker and United Way,Not sure,,https://www.ilcovidresponsefund.org/,,,,
Statewide,IN,Indiana primary election postponed to June 2,Gov. Eric Holcomb,Elections,3/20/2020,https://www.indystar.com/story/news/politics/elections/2020/03/20/indiana-primary-moved-june-2-because-coronavirus/2883367001/,https://www.in.gov/gov/2384.htm,,Mackenzie Murphy,
statewide,GA,statewide shelter in place,Gov. Brian Kemp,Quarantines and forced closures,4/2/2020,https://georgia.gov/covid-19-state-services-georgia/covid-19-statewide-shelter-place-order,,,,
statewide,GA,"designate healthcare institution and medical facility employees, staff, and contractors as ""auxiliary emergency management workers."" For the duration of the Public Health State of Emergency, this order will limit the civil liability of ""auxiliary emergency management workers"" engaging in ""emergency management activities"" while providing patient care if such care results in the death or injury of a patient",ç,Not sure,4/14/2020,https://gov.georgia.gov/press-releases/2020-04-14/kemp-designates-auxiliary-emergency-management-workers-emergency,,,,
statewide,GA,Vehicle registration deadline extended.,GA Dept of Revenue,Not sure,3/24/2020,https://georgia.gov/covid-19-state-services-georgia/covid-19-driving-and-vehicles,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,
statewide,GA,directed state agencies to implement teleworking policies,Gov. Brian Kemp,Quarantines and forced closures,3/12/2020,https://gov.georgia.gov/press-releases/2020-03-23/gov-kemp-issues-new-executive-orders-provides-covid-19-update,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,
statewide,GA,declared a public health state of emergency to deploy additional resources and give the Department of Public Health authority to direct specific healthcare action in our fight against the spread of COVID-19,Gov. Brian Kemp,Not sure,3/14/2020,https://gov.georgia.gov/press-releases/2020-03-23/gov-kemp-issues-new-executive-orders-provides-covid-19-update,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,
statewide,GA,executive order authorizing nearly $20 million in emergency funding to pay for necessary medical supplies,Gov. Brian Kemp,Not sure,3/20/2020,https://gov.georgia.gov/press-releases/2020-03-23/gov-kemp-issues-new-executive-orders-provides-covid-19-update,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,
statewide,GA,Georgia pharmacists are now permitted to dispense a ninety-day supply of a prescription drug & grant temporary licenses to out-of-state pharmacists,Gov. Brian Kemp,Not sure,3/20/2020,https://gov.georgia.gov/press-releases/2020-03-23/gov-kemp-issues-new-executive-orders-provides-covid-19-update,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,,,
